status,state,city,recalling_firm,reason_for_recall,year
Terminated,OH,Tipp City,trophy nut co inc,the product is being recalled because it was manufactured using pistachios recalled by setton pistachios of terra bella ca because it has the potential to be contaminated with salmonella,2009
Terminated,OH,Tipp City,trophy nut co inc,the product is being recalled because it was manufactured using pistachios recalled by setton pistachios of terra bella ca because it has the potential to be contaminated with salmonella,2009
Terminated,OH,Youngstown,gorant candies inc a division of carlton cards retail inc,the product is being recalled because it was manufactured using peanuts that were recalled by peanut corporation of america because of their potential to be contaminated with salmonella,2009
Terminated,OH,Youngstown,gorant candies inc a division of carlton cards retail inc,the product is being recalled because it was manufactured using peanuts that were recalled by peanut corporation of america because of their potential to be contaminated with salmonella,2009
Terminated,OH,Youngstown,gorant candies inc a division of carlton cards retail inc,the product is being recalled because it was manufactured using peanuts that were recalled by peanut corporation of america because of their potential to be contaminated with salmonella,2009
Terminated,OH,Youngstown,gorant candies inc a division of carlton cards retail inc,the product is being recalled because it was manufactured using peanuts that were recalled by peanut corporation of america because of their potential to be contaminated with salmonella,2009
Terminated,AZ,Cottonwood,nutri-health supplements llc,on the evening of friday july 6 2012 ingredion inc (f/k/a corn products us inc) the supplier of galactooligosaccharide (gos) an ingredient included in iflora?? kids multi probiotic notified our contract manufacturer that two lots of  their gos material supplied for inclusion in our products were being recalled for a suspected salmonella contamination although our contract manufacturer ,2012
Terminated,OH,Orrville,smith dairy products co,the firm distributed liquid lemon-flavored tea which contained milk residue (undeclared dairy) ,2009
Terminated,CA,Torrance,ll bakery inc,ll bakery inc of torrance ca is recalling all white farm enriched white bread butter farm enriched white bread and italian cream danish because product labels fail to declare the allergen milk in the whey powder listed in their ingredient statements  ,2013
Terminated,CA,Oxnard,gills onions llc,gills onions is recalling diced and slivered red and yellow onions and diced celery and onion mix because they may be contaminated by listeria monocytogenes,2012
Terminated,CA,Oxnard,gills onions llc,gills onions is recalling diced and slivered red and yellow onions and diced celery and onion mix because they may be contaminated by listeria monocytogenes,2012
Terminated,CA,Oxnard,gills onions llc,gills onions is recalling diced and slivered red and yellow onions and diced celery and onion mix because they may be contaminated by listeria monocytogenes,2012
Terminated,CA,Oxnard,gills onions llc,gills onions is recalling diced and slivered red and yellow onions and diced celery and onion mix because they may be contaminated by listeria monocytogenes,2012
Terminated,CA,Oxnard,gills onions llc,gills onions is recalling diced and slivered red and yellow onions and diced celery and onion mix because they may be contaminated by listeria monocytogenes,2012
Terminated,CA,Oxnard,gills onions llc,gills onions is recalling diced and slivered red and yellow onions and diced celery and onion mix because they may be contaminated by listeria monocytogenes,2012
Terminated,CA,Oxnard,gills onions llc,gills onions is recalling diced and slivered red and yellow onions and diced celery and onion mix because they may be contaminated by listeria monocytogenes,2012
Terminated,CA,Oxnard,gills onions llc,gills onions is recalling diced and slivered red and yellow onions and diced celery and onion mix because they may be contaminated by listeria monocytogenes,2012
Terminated,OH,Zanesville,ballas egg prod corp,pasteurized liquid whole eggs tested positive for salmonella  ,2010
Terminated,MD,Westminster,baugher enterprises incorporated,an unpasteurized apple cider product is potentially linked to foodborne illnesses in cases confirmed with e coli 0157:h7  ,2010
Terminated,NY,Spencer,raymond hadley corporation,the product was found to contain undeclared milk a known allergen from a sub-ingredient in the powdered sunflower oil ,2011
Terminated,NY,Spencer,raymond hadley corporation,the product was found to contain undeclared milk a known allergen from a sub-ingredient in the powdered sunflower oil ,2011
Terminated,NY,Spencer,raymond hadley corporation,the product was found to contain undeclared milk a known allergen from a sub-ingredient in the powdered sunflower oil ,2011
Terminated,NY,Spencer,raymond hadley corporation,the product was found to contain undeclared milk a known allergen from a sub-ingredient in the powdered sunflower oil ,2011
Terminated,PA,Gap,mcclures inc,"undeclared allergens  ingredient statement lists ""macaroni"" but sub-ingredients for macaroni are not listed",2011
Terminated,PA,Gap,mcclures inc,"undeclared allergens  ingredient statement lists ""mayonnaise"" but sub-ingredients are not listed for the mayonnaise",2011
Terminated,PA,Gap,mcclures inc,"undeclared allergens  ingredient statement lists ""mayonnaise"" but sub-ingredients for mayonnaise are not listed",2011
Terminated,PA,Gap,mcclures inc,"undeclared allergens  ingredient statement lists ""nuts"" but is not specific for walnuts",2011
Terminated,PA,Gap,mcclures inc,"undeclared allergens  ingredient statement lists ""mayonnaise"" but sub-ingredients for mayonnaise are not listed",2011
Terminated,PA,Gap,mcclures inc,"undeclared allergens  ingredient statement lists ""mayonnaise"" but sub-ingredients for mayonnaise are not listed  in addition product label lists cheese but does not list sub-ingredients from the cheese label",2011
Terminated,KY,Covington,club chef llc,south florida produce of boynton beach in florida shipped fresh jalapeno peppers to castellini company in wilder kentucky  castellini shipped the peppers to a store in ohio where the ohio department of agriculture collected a sample of these peppers which subsequently were found contaminated with salmonella  this same lot of fresh peppers was shipped to club chef which manufactured the salsa wh,2012
Terminated,FL,ORLANDO,house of spices (india) inc,house of spices (india) inc orlando fl is recalling 7 oz packages of crispy coconut cookies crispy almond cookies 7oz and 14 oz crispy pistachio cookies manufactured by twi foods inc ontario canada the product may contain undeclared milk,2012
Terminated,NY,Brooklyn,hong lee trading inc,the product contained undeclared sulfites (1088 ppm)  and undeclared yellow #5 based on sampling and analysis by new york state department of agriculture and markets ,2012
Terminated,TX,Farmers Branch,dymatize enterprises llc,the product label declares whey but does not declare milk,2012
Terminated,TX,Farmers Branch,dymatize enterprises llc,the product label declares whey but does not declare milk,2012
Terminated,TX,San Antonio,he butt grocery company,the product has the potential to be contaminated with salmonella,2012
Terminated,TX,San Antonio,he butt grocery company,the product has the potential to be contaminated with salmonella,2012
Terminated,TX,San Antonio,he butt grocery company,the product has the potential to be contaminated with salmonella,2012
Terminated,CA,San Leandro,santos inc,the recall was initiated after it was discovered during a routine inspection that the products ie various kinds of flours legumes and spices were cross packaged on shared equipment with peanuts and wheat flour  the products ie various kinds of flours legumes and spices were distributed in packaging that did not reveal the presence of peanuts or wheat but may contain traces of it ,2012
Terminated,CA,San Leandro,santos inc,the recall was initiated after it was discovered during a routine inspection that the products ie various kinds of flours legumes and spices were cross packaged on shared equipment with peanuts and wheat flour  the products ie various kinds of flours legumes and spices were distributed in packaging that did not reveal the presence of peanuts or wheat but may contain traces of it ,2012
Terminated,CA,San Leandro,santos inc,the recall was initiated after it was discovered during a routine inspection that the products ie various kinds of flours legumes and spices were cross packaged on shared equipment with peanuts and wheat flour  the products ie various kinds of flours legumes and spices were distributed in packaging that did not reveal the presence of peanuts or wheat but may contain traces of it ,2012
Terminated,CA,San Leandro,santos inc,the recall was initiated after it was discovered during a routine inspection that the products ie various kinds of flours legumes and spices were cross packaged on shared equipment with peanuts and wheat flour  the products ie various kinds of flours legumes and spices were distributed in packaging that did not reveal the presence of peanuts or wheat but may contain traces of it ,2012
Terminated,CA,San Leandro,santos inc,the recall was initiated after it was discovered during a routine inspection that the products ie various kinds of flours legumes and spices were cross packaged on shared equipment with peanuts and wheat flour  the products ie various kinds of flours legumes and spices were distributed in packaging that did not reveal the presence of peanuts or wheat but may contain traces of it ,2012
Terminated,CA,San Leandro,santos inc,the recall was initiated after it was discovered during a routine inspection that the products ie various kinds of flours legumes and spices were cross packaged on shared equipment with peanuts and wheat flour  the products ie various kinds of flours legumes and spices were distributed in packaging that did not reveal the presence of peanuts or wheat but may contain traces of it ,2012
Terminated,CA,San Leandro,santos inc,the recall was initiated after it was discovered during a routine inspection that the products ie various kinds of flours legumes and spices were cross packaged on shared equipment with peanuts and wheat flour  the products ie various kinds of flours legumes and spices were distributed in packaging that did not reveal the presence of peanuts or wheat but may contain traces of it ,2012
Terminated,CA,San Leandro,santos inc,the recall was initiated after it was discovered during a routine inspection that the products ie various kinds of flours legumes and spices were cross packaged on shared equipment with peanuts and wheat flour  the products ie various kinds of flours legumes and spices were distributed in packaging that did not reveal the presence of peanuts or wheat but may contain traces of it ,2012
Terminated,CA,San Leandro,santos inc,the recall was initiated after it was discovered during a routine inspection that the products ie various kinds of flours legumes and spices were cross packaged on shared equipment with peanuts and wheat flour  the products ie various kinds of flours legumes and spices were distributed in packaging that did not reveal the presence of peanuts or wheat but may contain traces of it ,2012
Terminated,CA,Oxnard,gills onions llc,the recall was initiated because gills onions llc  was informed by fda of lab results from the canadian food inspection agency that diced red onions with lot # 51rda1a2119 may be contaminated with listeria monocytogenes,2012
Terminated,CA,Oxnard,gills onions llc,the recall was initiated because gills onions llc  was informed by fda of lab results from the canadian food inspection agency that diced red onions with lot # 51rda1a2119 may be contaminated with listeria monocytogenes,2012
Terminated,CA,Salinas,river ranch fresh foods  llc,river ranch was notified that two separate samples of products pulled by the fda which were produced by river ranch tested positive for listeria monocytogenes ,2012
Terminated,CA,Salinas,river ranch fresh foods  llc,river ranch was notified that two separate samples of products pulled by the fda which were produced by river ranch tested positive for listeria monocytogenes ,2012
Terminated,CA,Salinas,river ranch fresh foods  llc,river ranch was notified that two separate samples of products pulled by the fda which were produced by river ranch tested positive for listeria monocytogenes ,2012
Terminated,CA,Salinas,river ranch fresh foods  llc,river ranch was notified that two separate samples of products pulled by the fda which were produced by river ranch tested positive for listeria monocytogenes ,2012
Terminated,CA,Salinas,river ranch fresh foods  llc,river ranch was notified that two separate samples of products pulled by the fda which were produced by river ranch tested positive for listeria monocytogenes ,2012
Terminated,CA,Salinas,river ranch fresh foods  llc,river ranch was notified that two separate samples of products pulled by the fda which were produced by river ranch tested positive for listeria monocytogenes ,2012
Terminated,CA,Salinas,river ranch fresh foods  llc,river ranch was notified that two separate samples of products pulled by the fda which were produced by river ranch tested positive for listeria monocytogenes ,2012
Terminated,CA,Salinas,river ranch fresh foods  llc,river ranch was notified that two separate samples of products pulled by the fda which were produced by river ranch tested positive for listeria monocytogenes ,2012
Terminated,CA,Salinas,river ranch fresh foods  llc,river ranch was notified that two separate samples of products pulled by the fda which were produced by river ranch tested positive for listeria monocytogenes ,2012
Terminated,CA,Salinas,river ranch fresh foods  llc,river ranch was notified that two separate samples of products pulled by the fda which were produced by river ranch tested positive for listeria monocytogenes ,2012
Terminated,CA,Salinas,river ranch fresh foods  llc,river ranch was notified that two separate samples of products pulled by the fda which were produced by river ranch tested positive for listeria monocytogenes ,2012
Terminated,CA,Salinas,river ranch fresh foods  llc,river ranch was notified that two separate samples of products pulled by the fda which were produced by river ranch tested positive for listeria monocytogenes ,2012
Terminated,CA,Salinas,river ranch fresh foods  llc,river ranch was notified that two separate samples of products pulled by the fda which were produced by river ranch tested positive for listeria monocytogenes ,2012
Terminated,CA,Salinas,river ranch fresh foods  llc,river ranch was notified that two separate samples of products pulled by the fda which were produced by river ranch tested positive for listeria monocytogenes ,2012
Terminated,CA,Salinas,river ranch fresh foods  llc,river ranch was notified that two separate samples of products pulled by the fda which were produced by river ranch tested positive for listeria monocytogenes ,2012
Terminated,CA,Salinas,river ranch fresh foods  llc,river ranch was notified that two separate samples of products pulled by the fda which were produced by river ranch tested positive for listeria monocytogenes ,2012
Terminated,CA,Salinas,river ranch fresh foods  llc,river ranch was notified that two separate samples of products pulled by the fda which were produced by river ranch tested positive for listeria monocytogenes ,2012
Terminated,CA,Salinas,river ranch fresh foods  llc,river ranch was notified that two separate samples of products pulled by the fda which were produced by river ranch tested positive for listeria monocytogenes ,2012
Terminated,CA,Salinas,river ranch fresh foods  llc,river ranch was notified that two separate samples of products pulled by the fda which were produced by river ranch tested positive for listeria monocytogenes ,2012
Terminated,CA,Salinas,river ranch fresh foods  llc,river ranch was notified that two separate samples of products pulled by the fda which were produced by river ranch tested positive for listeria monocytogenes ,2012
Terminated,CA,Salinas,river ranch fresh foods  llc,river ranch was notified that two separate samples of products pulled by the fda which were produced by river ranch tested positive for listeria monocytogenes ,2012
Terminated,CA,Salinas,river ranch fresh foods  llc,river ranch was notified that two separate samples of products pulled by the fda which were produced by river ranch tested positive for listeria monocytogenes ,2012
Terminated,CA,Salinas,river ranch fresh foods  llc,river ranch was notified that two separate samples of products pulled by the fda which were produced by river ranch tested positive for listeria monocytogenes ,2012
Terminated,CA,Salinas,river ranch fresh foods  llc,river ranch was notified that two separate samples of products pulled by the fda which were produced by river ranch tested positive for listeria monocytogenes ,2012
Terminated,CA,Salinas,river ranch fresh foods  llc,river ranch was notified that two separate samples of products pulled by the fda which were produced by river ranch tested positive for listeria monocytogenes ,2012
Terminated,CA,Salinas,river ranch fresh foods  llc,river ranch was notified that two separate samples of products pulled by the fda which were produced by river ranch tested positive for listeria monocytogenes ,2012
Terminated,CA,Salinas,river ranch fresh foods  llc,river ranch was notified that two separate samples of products pulled by the fda which were produced by river ranch tested positive for listeria monocytogenes ,2012
Terminated,CA,Salinas,river ranch fresh foods  llc,river ranch was notified that two separate samples of products pulled by the fda which were produced by river ranch tested positive for listeria monocytogenes ,2012
Terminated,CA,Salinas,river ranch fresh foods  llc,river ranch was notified that two separate samples of products pulled by the fda which were produced by river ranch tested positive for listeria monocytogenes ,2012
Terminated,CA,Salinas,river ranch fresh foods  llc,river ranch was notified that two separate samples of products pulled by the fda which were produced by river ranch tested positive for listeria monocytogenes ,2012
Terminated,CA,Salinas,river ranch fresh foods  llc,river ranch was notified that two separate samples of products pulled by the fda which were produced by river ranch tested positive for listeria monocytogenes ,2012
Terminated,CA,Salinas,river ranch fresh foods  llc,river ranch was notified that two separate samples of products pulled by the fda which were produced by river ranch tested positive for listeria monocytogenes ,2012
Terminated,CA,Salinas,river ranch fresh foods  llc,river ranch was notified that two separate samples of products pulled by the fda which were produced by river ranch tested positive for listeria monocytogenes ,2012
Terminated,CA,Salinas,river ranch fresh foods  llc,river ranch was notified that two separate samples of products pulled by the fda which were produced by river ranch tested positive for listeria monocytogenes ,2012
Terminated,CA,Salinas,river ranch fresh foods  llc,river ranch was notified that two separate samples of products pulled by the fda which were produced by river ranch tested positive for listeria monocytogenes ,2012
Terminated,CA,Salinas,river ranch fresh foods  llc,river ranch was notified that two separate samples of products pulled by the fda which were produced by river ranch tested positive for listeria monocytogenes ,2012
Terminated,CA,Salinas,river ranch fresh foods  llc,river ranch was notified that two separate samples of products pulled by the fda which were produced by river ranch tested positive for listeria monocytogenes ,2012
Terminated,CA,Salinas,river ranch fresh foods  llc,river ranch was notified that two separate samples of products pulled by the fda which were produced by river ranch tested positive for listeria monocytogenes ,2012
Terminated,CA,Salinas,river ranch fresh foods  llc,river ranch was notified that two separate samples of products pulled by the fda which were produced by river ranch tested positive for listeria monocytogenes ,2012
Terminated,CA,Salinas,river ranch fresh foods  llc,river ranch was notified that two separate samples of products pulled by the fda which were produced by river ranch tested positive for listeria monocytogenes ,2012
Terminated,TX,Carrollton,international flavors & fragrances inc,product has the potential to be contaminated with salmonella,2012
Terminated,TX,Carrollton,international flavors & fragrances inc,product has the potential to be contaminated with salmonella,2012
Terminated,TX,Carrollton,international flavors & fragrances inc,product has the potential to be contaminated with salmonella,2012
Terminated,CA,City Of Commerce,hocean inc,fda analysis of the product found that the product consisted of mainly sodium nitrite  the product's label failed to bear adequate directions for use as required in 21 cfr 172175  failure to provide these directions for use may result in overuse that can pose an life-threatening hazard to health,2012
Terminated,WA,Ferndale,botanical laboratories inc,"product (""digestive 3 in 1 health"") was manufactured using a raw ingredient that tested positive for salmonella by the raw ingredient supplier  ",2012
Terminated,PR,Ciales,altura food inc,undeclared sub-ingredients considered allergens: hydrogenated coconut oil sodium caseinate and soy lecithin,2012
Terminated,PR,Ciales,altura food inc,undeclared sub-ingredients considered allergens: hydrogenated coconut oil sodium caseinate and soy lecithin,2012
Terminated,CA,Los Angeles,mutual trading company inc,the recall was initiated because mutual trading co has confirmed that tara saikyozuke (cod fish with miso) contains undeclared soy,2012
Terminated,MD,Rockville,indonesian food mart,imported food product tested positive for salmonella ,2012
Terminated,MD,Rockville,indonesian food mart,imported food product tested positive for salmonella ,2012
Terminated,MI,Detroit,mexicantown wholesale,the firm recalled 26 products for undeclared allergens this product was recalled due to undeclared soy (soy four and soybean oil) and milk (nonfat milk),2012
Terminated,MI,Detroit,mexicantown wholesale,the firm recalled 26 products for undeclared allergens this product was recalled due to undeclared wheat (flour) milk and soy (soybean oil and soy flour),2012
Terminated,MI,Detroit,mexicantown wholesale,the firm recalled 26 products for undeclared allergens this product was recalled due to undeclared soy (soy flour and soybean oil),2012
Terminated,MI,Detroit,mexicantown wholesale,the firm recalled 26 products for undeclared allergens this product was recalled due to undeclared soy (soy bean oil and soy flour),2012
Terminated,MI,Detroit,mexicantown wholesale,the firm recalled 26 products for undeclared allergens this product was recalled due to undeclared milk (liquid milk added) fd&c yellow #6 and wheat (flour),2012
Terminated,VA,Woodford,henrys farm inc,soybean sprouts may be contaminated with listeria monocytogenes,2012
Terminated,VA,Woodford,henrys farm inc,soybean sprouts may be contaminated with listeria monocytogenes,2012
Terminated,NJ,Rahway,indian foods & spices llc,product may contain undeclared milk,2012
Terminated,NJ,Rahway,indian foods & spices llc,product may contain undeclared milk,2012
Terminated,NJ,Union,deep foods inc,products may contain undeclared milk,2012
Terminated,NJ,Union,deep foods inc,products may contain undeclared milk,2012
Terminated,NJ,Union,deep foods inc,products may contain undeclared milk,2012
Terminated,NJ,Carteret,singh and singh distributors inc,product may contain undeclared milk and almonds,2012
Terminated,NJ,Carteret,singh and singh distributors inc,product may contain undeclared milk,2012
Terminated,NJ,Carteret,singh and singh distributors inc,product may contain undeclared milk,2012
Terminated,FL,Miami,leasa  industries co inc,leasa industries co inc initiated a recall of 6 oz containers of leasa living alfalfa sprouts with use by date 07/02/2012 upc 75465-55912 after being informed by the florida department of agriculture and consumer safety that a product sample had tested positive for salmonella,2012
Terminated,CA,Monterey,dole fresh vegetables inc,positive mdp sample for listeria monocytogenes collected b usda for marketside leafy romaine salad with best by date of june 19 2012,2012
Terminated,CA,Sacramento,banner mountain sprouts inc,usda mdp sampling found a positive result for salmonella in alfalfa sprouts grown by banner mountain sprouts,2012
Terminated,CA,Sacramento,banner mountain sprouts inc,usda mdp sampling found a positive result for salmonella in alfalfa sprouts grown by banner mountain sprouts,2012
Terminated,CA,Sacramento,banner mountain sprouts inc,usda mdp sampling found a positive result for salmonella in alfalfa sprouts grown by banner mountain sprouts,2012
Terminated,WI,Palmyra,standard process inc,standard process inc is voluntarily recalling 3 dietary supplements due to potential salmonella contamination,2012
Terminated,WI,Palmyra,standard process inc,standard process inc is voluntarily recalling 3 dietary supplements due to potential salmonella contamination,2012
Terminated,CA,Santa Fe Springs,fruiti pops inc,the firm initiated the recall because the product may contain egg yolk ,2012
Terminated,NJ,Trenton,peoples bakery inc,product has an error on the ingredient listing of the packaging for product produced by italian peoples bakery the listing should include whey but it is not included,2012
Terminated,NJ,Trenton,peoples bakery inc,product has an error on the ingredient listing of the packaging for product produced by italian peoples bakery the listing should include whey but it is not included,2012
Terminated,NJ,Trenton,peoples bakery inc,product has an error on the ingredient listing of the packaging for product produced by italian peoples bakery the listing should include whey but it is not included,2012
Terminated,AZ,Scottsdale,wellements llc,wellements is recalling wellements baby move prune concentrate 4oz because they have confirmed that their supplier of the ingredient galacto-oligosaccharide which is used in the baby move product may be contaminated salmonella  ,2012
Terminated,MI,Monroe,spillson's ltd,undeclared soy and wheat found in the flour ingredient of the texas bbq beef sandwich people with an allergy or sensitivity to soy or wheat run the risk of a serious or life threatening reaction if they consume this product,2012
Terminated,CO,Lafayette,sartori inspirations llc,sartori is recalling various dips salsas and cheese products which may have been manufactured onion mixes which were recalled by another firm due to possible contamination with listeria monocytogenes,2012
Terminated,CO,Lafayette,sartori inspirations llc,sartori is recalling various dips salsas and cheese products which may have been manufactured onion mixes which were recalled by another firm due to possible contamination with listeria monocytogenes,2012
Terminated,CO,Lafayette,sartori inspirations llc,sartori is recalling various dips salsas and cheese products which may have been manufactured onion mixes which were recalled by another firm due to possible contamination with listeria monocytogenes,2012
Terminated,CO,Lafayette,sartori inspirations llc,sartori is recalling various dips salsas and cheese products which may have been manufactured onion mixes which were recalled by another firm due to possible contamination with listeria monocytogenes,2012
Terminated,ND,Fargo,cass clay creamery ampi fargo division,cass-clay creamery is voluntarily recalling a number of ice cream products because they may contain undeclared brazil nuts,2012
Terminated,CA,Union City,chetak san francisco llc,fda was notified of a recall by cfia for punjabi cookies manufactured by twi foods canada that may not declare milk as an ingredient,2012
Terminated,MO,North Kansas City,cool creations llc,products may be contaminated with listeria monocytogenes,2012
Terminated,MO,North Kansas City,cool creations llc,products may be contaminated with listeria monocytogenes,2012
Terminated,MO,North Kansas City,cool creations llc,products may be contaminated with listeria monocytogenes,2012
Terminated,MO,North Kansas City,cool creations llc,products may be contaminated with listeria monocytogenes,2012
Terminated,MO,North Kansas City,cool creations llc,products may be contaminated with listeria monocytogenes,2012
Terminated,MO,North Kansas City,cool creations llc,products may be contaminated with listeria monocytogenes,2012
Terminated,MO,North Kansas City,cool creations llc,products may be contaminated with listeria monocytogenes,2012
Terminated,MO,North Kansas City,cool creations llc,products may be contaminated with listeria monocytogenes,2012
Terminated,MO,North Kansas City,cool creations llc,products may be contaminated with listeria monocytogenes,2012
Terminated,MO,North Kansas City,cool creations llc,products may be contaminated with listeria monocytogenes,2012
Terminated,MO,North Kansas City,cool creations llc,products may be contaminated with listeria monocytogenes,2012
Terminated,CO,Colorado Springs,wimberger's old world bakery inc,wimberger's old world bakery is recalling various baked bread products due to the omission of major allergens milk soy and wheat from their finished product labeling,2012
Terminated,CA,Tracy,shah distributors,fda was notified of a recall by cfia for punjabi cookies manufactured by twi food canada that may not declare milk as an ingredient,2012
Terminated,TX,El Paso,mount franklin foods llc,mount franklin foods llc is voluntarily recalling safeway autumn mix sunrise autumn mix and sunrise indian corn because the candy contains undeclared milk and sulfites people with an allergy or severe sensitivity to milk can run the risk of serious or life-threatening allergic reactions if they consume this product,2012
Terminated,CA,Sacramento,gh foods ca llc,gh foods ca received notification from gills onions of a recall of onions due to listeria monocytogenes gh foods used the recalled onions in numerous product,2012
Terminated,CA,Sacramento,gh foods ca llc,gh foods ca received notification from gills onions of a recall of onions due to listeria monocytogenes gh foods used the recalled onions in numerous product,2012
Terminated,CA,Sacramento,gh foods ca llc,gh foods ca received notification from gills onions of a recall of onions due to listeria monocytogenes gh foods used the recalled onions in numerous product,2012
Terminated,CA,Sacramento,gh foods ca llc,gh foods ca received notification from gills onions of a recall of onions due to listeria monocytogenes gh foods used the recalled onions in numerous product,2012
Terminated,CA,Sacramento,gh foods ca llc,gh foods ca received notification from gills onions of a recall of onions due to listeria monocytogenes gh foods used the recalled onions in numerous product,2012
Terminated,CA,Sacramento,gh foods ca llc,gh foods ca received notification from gills onions of a recall of onions due to listeria monocytogenes gh foods used the recalled onions in numerous product,2012
Terminated,CA,Sacramento,gh foods ca llc,gh foods ca received notification from gills onions of a recall of onions due to listeria monocytogenes gh foods used the recalled onions in numerous product,2012
Terminated,CA,Sacramento,gh foods ca llc,gh foods ca received notification from gills onions of a recall of onions due to listeria monocytogenes gh foods used the recalled onions in numerous product,2012
Terminated,CA,Sacramento,gh foods ca llc,gh foods ca received notification from gills onions of a recall of onions due to listeria monocytogenes gh foods used the recalled onions in numerous product,2012
Terminated,CA,Sacramento,gh foods ca llc,gh foods ca received notification from gills onions of a recall of onions due to listeria monocytogenes gh foods used the recalled onions in numerous product,2012
Terminated,CA,Sacramento,gh foods ca llc,gh foods ca received notification from gills onions of a recall of onions due to listeria monocytogenes gh foods used the recalled onions in numerous product,2012
Terminated,CA,Sacramento,gh foods ca llc,gh foods ca received notification from gills onions of a recall of onions due to listeria monocytogenes gh foods used the recalled onions in numerous product,2012
Terminated,CA,Sacramento,gh foods ca llc,gh foods ca received notification from gills onions of a recall of onions due to listeria monocytogenes gh foods used the recalled onions in numerous product,2012
Terminated,CA,Sacramento,gh foods ca llc,gh foods ca received notification from gills onions of a recall of onions due to listeria monocytogenes gh foods used the recalled onions in numerous product,2012
Terminated,CA,Sacramento,gh foods ca llc,gh foods ca received notification from gills onions of a recall of onions due to listeria monocytogenes gh foods used the recalled onions in numerous product,2012
Terminated,CA,Sacramento,gh foods ca llc,gh foods ca received notification from gills onions of a recall of onions due to listeria monocytogenes gh foods used the recalled onions in numerous product,2012
Terminated,CA,Sacramento,gh foods ca llc,gh foods ca received notification from gills onions of a recall of onions due to listeria monocytogenes gh foods used the recalled onions in numerous product,2012
Terminated,CA,Sacramento,gh foods ca llc,gh foods ca received notification from gills onions of a recall of onions due to listeria monocytogenes gh foods used the recalled onions in numerous product,2012
Terminated,MA,Marlborough,ken's foods inc,products manufactured with gills onions recalled due to potential for listeria monocytogenes,2012
Terminated,GA,Forest Park,freshpoint atlanta inc,product may be contaminated with listeria monocytogenes,2012
Terminated,GA,Forest Park,freshpoint atlanta inc,product may be contaminated with listeria monocytogenes,2012
Terminated,GA,Forest Park,freshpoint atlanta inc,product may be contaminated with listeria monocytogenes,2012
Terminated,GA,Forest Park,freshpoint atlanta inc,product may be contaminated with listeria monocytogenes,2012
Terminated,GA,Forest Park,freshpoint atlanta inc,product may be contaminated with listeria monocytogenes,2012
Terminated,GA,Forest Park,freshpoint atlanta inc,product may be contaminated with listeria monocytogenes,2012
Terminated,GA,Forest Park,freshpoint atlanta inc,product may be contaminated with listeria monocytogenes,2012
Terminated,GA,Forest Park,freshpoint atlanta inc,product may be contaminated with listeria monocytogenes,2012
Terminated,CA,Vernon,huxtable's kitchen inc,recall initiated by firm because the onions uses as an ingredient have the potential to be contaminated by listeria monocytogenes ,2012
Terminated,NC,Faison,burch farms,product was found to be contaminated with listeria monocytogenes,2012
Terminated,NC,Faison,burch farms,product was found to be contaminated with listeria monocytogenes,2012
Terminated,RI,Cumberland,simmering soups inc,products contain an ingredient (onions) that were found to be contaminated with listeria monocytogenes ,2012
