,city,classification,code_info,country,distribution_pattern,event_id,initial_firm_notification,postal_code,product_description,product_type,reason_for_recall,recall_initiation_date,recall_number,recalling_firm,state,status,termination_date,duration,listeria,salmonella,allergen/undeclared,salad/slaw,peanut,butter,milk,ice-cream
62,Oak Forest,Class I,ultimate chocolate chip cookie dough pie refrigerated/frozen a 9-inch pastry shell with a layer of chocolate chip cookie dough baked in the bottom followed by a layer of french silk  finished with whipped cream chocolate drizzle and chocolate chip cookie dough bites distributed across the top of pie 39 oz ,United States,ia il in  mn wi oh,75729,telephone,60452-4602, material #29578 and #29978  batch numbers:  2016188 2016190 2016193 2016195 2016197 2016200 2016202 2016204 2016207 2016209 2016211  ,Food,product incorporated cookie dough that was potentially contaminated with listeria monocytogenes ,2016-11-10,F-0687-2017,american blue ribbon holdings dba legendary baking,IL,Ongoing,,,1,0,0,0,0,0,0,0
65,Pasco,Class I,pepper strips brand signature kitchens net wt 14 oz upc 2113009100  ,United States,us nationwide and in canada & japan,74019,press release,99301-9533, all affected products have the best by dates or sell by dates between april 26 2016 and april 26 2018    signature kitchens pepper strips have the code format best before: oct 23 17 s3904 15:08 b product of usa  ,Food,pepper strips are recalled because they have the potential to be contaminated with listeria monocytogenes,2016-05-02,F-1817-2016,crf frozen foods llc,WA,Ongoing,,,1,0,0,0,0,0,0,0
67,Green Bay,Class I,blain's farm & fleet sunflower kernel 2 oz (57 g) upc	034952818949 item # 670547  10/5/16 11/25/16 3/3/16 5/6/16 7/23/16 3/10/16    blain's farm & fleet sunflower kernels 16 oz  1 lb(454 g) upc 034952813661 item # 637413  10/4/16 10/18/16 10/19/16 11/22/16 12/1/16 12/30/16 1/13/17 1/18/17 1/20/17  2/4/17 2/22/16 9/1/16 2/28/16 6/15/16 6/15/16 8/9/16 7/6/16 9/14/16 5/24/16  2/20/16 4/20/16 5/5/16 7/19/16 3/29/16      eillien's 10 oz (284 g) sunflower kernels upc 034952131581 item 202358  9/29/16 11/10/16 12/9/16 1/4/17 2/5/17 6/21/16 2/15/16 3/19/16 4/9/16 4/15/16  5/13/16 5/27/16 9/2/16    eillien's 12 oz (340 g) sunflower kernels upc 034952571103 item # 128884  10/28/16 6/3/16 9/16/16  item # 800323: 9/22/16 10/4/16 10/19/16 10/27/16 11/22/16 12/1/16 12/15/16  12/30/16 1/5/17 1/20/17 1/25/17 2/4/17 5/18/16 5/18/16 9/1/16 2/28/16 3/24/16  3/24/16 3/30/16 5/20/16 2/7/16 8/30/16 3/3/16 4/6/16 6/1/16 2/20/16 6/22/16  6/22/16 8/3/16 5/5/16 6/8/16 6/29/16 7/19/16 8/5/16 8/21/16 7/20/16    eillien's 14 oz (397 g) sunflower kernels upc 034952563481 item # 304907  9/29/16 10/4/16 10/4/16 10/27/16 12/1/16 12/15/16 1/25/17 2/13/16 9/1/16   2/28/16 3/30/16 7/14/16 6/11/16 4/30/16 3/3/16 5/24/16 2/20/16 4/20/16 4/28/16 6/22/16 6/22/16 7/23/16 8/3/16  item #: 1/13/17 2/15/16    eillien's sunflower kernel tray   13 oz (369 g) upc 034952572711 item # 204339  6/29/16 7/18/16 8/10/16 8/23/16 9/9/16 9/30/16 9/30/1610/19/1611/9/16  11/10/164/16/161/29/163/11/161/15/161/1/1611/21/15 6/16/16 1/20/1612/9/15   6/9/16 11/8/15 5/17/16 5/17/16 4/8/16    eillien's sunflower kernels        4 oz (113 g) upc	034952006094 item # 200188  10/20/16 10/26/16 12/3/16 12/31/16 1/27/17 2/9/17 2/16/17 7/16/16 2/5/16  5/11/16 2/7/16 3/4/16 3/17/16 3/23/16 4/2/16 4/14/16 5/19/16 5/28/16 6/11/16  6/24/16 7/6/16 7/9/16 9/4/16    holiday snacktime sunflower kernel   12 oz (340 g) upc 041282995349  11/17/16 11/18/16 12/10/16 12/28/16 12/30/16 12/31/16 12/31/16 1/25/17  2/22/16 2/28/16 3/17/16 4/15/16 2/12/16 9/14/16 3/26/16 3/3/16 5/24/16   2/20/16 7/12/16 2/8/16    mill's fleet farm sunflower kernels    16 oz  1 lb(454 g) upc 034952363821 item # 600346  10/11/16 10/11/16 12/1/16 12/8/16 12/15/16 12/15/16 12/30/16 1/6/17 2/16/17  5/18/16 9/1/16 8/9/16 8/9/16 4/2/16 2/15/16 3/5/16 3/26/16 2/20/16 5/5/16  5/7/16 6/8/16 6/29/16 7/19/16    mill's fleet farm sunflower kernels 675oz (191 g) upc 034952365511 item # 609563  11/17/16 1/20/17 2/16/17 4/1/16 4/30/16 6/17/16 8/13/16    urge sunflower kernels   5 oz (142 g) upc 039779010484 item # 618124  10/11/16 10/18/16 12/2/16 1/12/17 2/22/16 2/22/16 7/16/16 3/17/16 6/17/16  5/1/16 6/3/16 7/7/16 2/29/16 7/29/16 6/8/16 8/20/16 2/8/16 2/6/16 5/3/16  7/22/16 8/25/16    item #117739 760 ct 12 oz sunflower kernel upc 34952136166  1/20/17 1/25/17 1/27/17 2/4/17      ,United States,il ia mi mn ny nd ok sd tx wi,74387,letter,54304-5655, best  by date: 10/5/16 11/25/16 3/3/16 5/6/16 7/23/16 3/10/16    10/4/16 10/18/16 10/19/16 11/22/16 12/1/16 12/30/16 1/13/17 1/18/17 1/20/17  2/4/17 2/22/16 9/1/16 2/28/16 6/15/16 6/15/16 8/9/16 7/6/16 9/14/16 5/24/16  2/20/16 4/20/16 5/5/16 7/19/16 3/29/16    9/29/16 11/10/16 12/9/16 1/4/17 2/5/17 6/21/16 2/15/16 3/19/16 4/9/16 4/15/16  5/13/16 5/27/16 9/2/16    10/28/16 6/3/16 9/16/16  800323: 9/22/16 10/4/16 10/19/16 10/27/16 11/22/16 12/1/16 12/15/16  12/30/16 1/5/17 1/20/17 1/25/17 2/4/17 5/18/16 5/18/16 9/1/16 2/28/16 3/24/16  3/24/16 3/30/16 5/20/16 2/7/16 8/30/16 3/3/16 4/6/16 6/1/16 2/20/16 6/22/16  6/22/16 8/3/16 5/5/16 6/8/16 6/29/16 7/19/16 8/5/16 8/21/16 7/20/16    9/29/16 10/4/16 10/4/16 10/27/16 12/1/16 12/15/16 1/25/17 2/13/16 9/1/16   2/28/16 3/30/16 7/14/16 6/11/16 4/30/16 3/3/16 5/24/16 2/20/16 4/20/16 4/28/16 6/22/16 6/22/16 7/23/16 8/3/16  item #: 1/13/17 2/15/16    6/29/16 7/18/16 8/10/16 8/23/16 9/9/16 9/30/16 9/30/1610/19/1611/9/16  11/10/164/16/161/29/163/11/161/15/161/1/1611/21/15 6/16/16 1/20/1612/9/15   6/9/16 11/8/15 5/17/16 5/17/16 4/8/16    10/20/16 10/26/16 12/3/16 12/31/16 1/27/17 2/9/17 2/16/17 7/16/16 2/5/16  5/11/16 2/7/16 3/4/16 3/17/16 3/23/16 4/2/16 4/14/16 5/19/16 5/28/16 6/11/16  6/24/16 7/6/16 7/9/16 9/4/16    11/17/16 11/18/16 12/10/16 12/28/16 12/30/16 12/31/16 12/31/16 1/25/17  2/22/16 2/28/16 3/17/16 4/15/16 2/12/16 9/14/16 3/26/16 3/3/16 5/24/16   2/20/16 7/12/16 2/8/16    10/11/16 10/11/16 12/1/16 12/8/16 12/15/16 12/15/16 12/30/16 1/6/17 2/16/17  5/18/16 9/1/16 8/9/16 8/9/16 4/2/16 2/15/16 3/5/16 3/26/16 2/20/16 5/5/16  5/7/16 6/8/16 6/29/16 7/19/16    11/17/16 1/20/17 2/16/17 4/1/16 4/30/16 6/17/16 8/13/16    10/11/16 10/18/16 12/2/16 1/12/17 2/22/16 2/22/16 7/16/16 3/17/16 6/17/16  5/1/16 6/3/16 7/7/16 2/29/16 7/29/16 6/8/16 8/20/16 2/8/16 2/6/16 5/3/16  7/22/16 8/25/16    1/20/17 1/25/17 1/27/17 2/4/17      ,Food,eillien's candies was notified by sunopta an ingredient supplier that the sunflower kernels may be contaminated with listeria monocytogenes  in turn eillien's in recalling a number of products manufactured with roasted salted sunflower kernels and / or roasted unsalted sunflower kernels  there have been no reported illnesses to date,2016-05-23,F-2311-2016,eillien's candies inc,WI,Ongoing,,,1,0,0,0,0,0,0,0
71,Bend,Class I,bounce energy ball cashew & pecan vitality lift each loose unit has net wt 42 gram    the bulk pack (contains 60 pieces) has upc 9335805000872 and 9335805000308  the jar (contains 40 pieces) has upc 9335805000254    bounce energy ball cashew & pecan vitality lift unit has upc 9335805000094 (61764 balls); 9335805001077 (7200 balls); and 9335805000049 (257 balls)  ,United States,distributed nationwide in the us and in australia canada and united kingdom,74430,two or more of the following: email fax letter press release telephone visit,97703-2258, best by dates codes    bb l 29aug16 f5 3025    bb l 19sep16 f5 3225    bb l 07oct16 f5 3415  bb l 22oct16 f6 3565    bb l 05nov16 f6 0056  bb l 22nov16 f 0226    bb l 03dec16 f5 0346  bb l 16dec16 f5 0476    bb l 02jan17 f6 0626  bb l 29jan17 f6 0896    bb l 14feb17 f6 1056  bb l 15feb17 f6 1056  ,Food,bounce energy ball cashew & pecan vitality lift is recalled because it has the potential to be contaminated with listeria monocytogenes  this product contains sunflower kernels that were recalled by supplier sunopta,2016-06-08,F-2404-2016,bounce life style hq,OR,Ongoing,,,1,0,0,0,0,0,0,0
74,Staten Island,Class I,refrigerated ready to eat herring in brine with no brand name packaged in bulk 25 lb white plastic bucket and labeled in part ** 204857 ** herring norway super jumbo by pc ** (label on the metal handle of bucket),United States,new york new jersey pennsylvania ohio oregon texas and north carolina,75852,press release,10303-2727," code 204857; herring product with pack dates ""11/2/16"" - ""11/30/16""",Food,the product has the potential to be contaminated with listeria monocytogenes ,2016-12-02,F-1146-2017,royal seafood baza inc,NY,Ongoing,,,1,0,0,0,0,0,0,0
75,Chicago,Class I,quaker quinoa granola bars chocolate nut medley packaged in a multi colored box with brown lettering wrapper upc: 000 30000 00243 8,United States,distributed to multiple locations within the us (nationwide): no foreign consignees,74324,two or more of the following: email fax letter press release telephone visit,60661-3605, best by dates: all dats prior to november 15 2016 (nov 15 16 k),Food,sunopta expanded their recall of listeria monocytogenes in sunflower kernels these sunflower kernels were used in the manufacturing of quinoa bars at the quaker oats company ,2016-06-02,F-0047-2017,the quaker oats company,IL,Ongoing,,,1,0,0,0,0,0,0,0
80,Houston,Class I,harris teeter grilling vegetables 14oz,United States,al fl ga ky la md ms nc sc tn va and wv,75061,two or more of the following: email fax letter press release telephone visit,77073-3302, best if used by dates between august 11 2016 through august 17 2016,Food,products may be contaminated with listeria monocytogenes,2016-08-25,F-0843-2017,country fresh products llc,TX,Ongoing,,,1,0,0,0,0,0,0,0
82,Brenham,Class I,blue bell ice cream natural vanilla bean 3 gallon,United States,fl ga sc nc va oh ky tn al ms in il mt ar la tx ok ks nm co wy az nv and bermuda belize saudia arabia yemen oman uae qatar egypt jordan kuwait dominican republic panama turks and caicos haiti trinadad and tobago puerto rico chile peru china mexico philippines tortola st thomas and st croix anguilla st kitts and nevis montserrat and dominica,70738,two or more of the following: email fax letter press release telephone visit,77833-4413, all lot codes within expiry,Food,five patients who were treated in a single hospital in kansas were infected with one of four rare strains of listeria monocytogenes,2015-03-13,F-2646-2015,blue bell creameries lp,TX,Ongoing,,,1,0,0,0,0,0,0,0
83,Phoenix,Class I,fresh frozen grade a baby lima beans net wt 32 oz (2 lb) 907 g dist by fresh frozen foods inc jefferson ga 30549 upc 0-86069-20010-0; fresh frozen grade a baby lima beans  net wt 80 oz (5 lb) 2268g dist by fresh frozen foods inc jefferson ga 30549 upc 0-86069-50010-1; fresh frozen baby lima beans net wt 16 oz (1 lb) 454 g upc 0-86069-20012-4 fresh frozen fordhook lima beans net wt 24 oz dist by fresh frozen foods inc jefferson ga 30549 upc 0-86069-20016-2,United States,al ar az ca fl ga il in ks ky la md ma mi mn ms mo mt ne nj ny nc oh ok pa sc tn tx vt va wi and wv,71070,two or more of the following: email fax letter press release telephone visit,85054-5484, upc 0-86069-20010-0 ff item number 112 upc 0-86069-50010-1 ff item number 115 upc 0-8069-20012-4 ff item number 11299 upc 0-86069-20016-2 ff item number 144      ,Food,listeria contamination due to various gmp violations possible,2015-04-23,F-2986-2015,inventure foods,AZ,Ongoing,,,1,0,0,0,0,0,0,0
86,Warren,Class I,lipari old tyme pepper jack cheese 12/8 oz ,United States,domestic: illinois indiana kentucky maryland minnesota missouri michigan new york ohio pennsylvania tennessee wisconsin and west virginia    foreign: none  va/dod: none,76609,two or more of the following: email fax letter press release telephone visit,48089-3650, product number: 185428 sell by date: 2/28/17 thru 8/14/17 upc: 094776102303,Food,lipari foods is recalling multiple cheeses because of a supplier's recall of cheese due to potential contamination with listeria monocytogenes  ,2017-02-09,F-1801-2017,lipari foods inc,MI,Ongoing,,,1,0,0,0,0,0,0,0
117,Danvers,Class I,fresh to go mediterranean chicken hummus sandwich fresh  refrigerated  net wt 8 oz (227g) packaged in sandwich wedge plastic container  ,United States,illinois indiana iowa wisconsin and massachusetts rhode island connecticut maine vermont new hampshire and new york,75783,e-mail,01923-4520, use by dates:  10/17/2016 10/18/2016 10/19/2016 10/20/2016 10/21/2016 10/22/2016  10/23/2016 10/24/2016 10/25/2016 10/26/2016 10/27/2016 10/28/2016 10/29/2016 10/30/2016 10/31/2016 11/1/2016 11/2/2016 11/3/2016 11/4/2016 11/5/2016 11/6/2016 11/7/2016 11/8/2016 11/9/2016 11/10/2016 11/11/2016 11/12/2016 11/13/2016 11/14/2016 11/15/2016 11/16/2016 11/17/2016 11/18/2016 11/19/2016 11/20/2016 11/21/2016 10/17/2016 10/18/2016  10/19/2016 10/20/2016 10/21/2016 10/22/2016 10/23/2016 10/24/2016 10/25/2016 10/26/2016 10/27/2016 10/28/2016 10/29/2016 10/30/2016 10/31/2016 11/1/2016 11/2/2016 11/3/2016 11/4/2016 11/5/2016 11/6/2016 11/7/2016 11/8/2016 11/9/2016 11/10/2016 11/11/2016 11/12/2016 11/13/2016 11/14/2016 11/15/2016 11/16/2016 11/17/2016 11/18/2016 11/19/2016  11/20/2016 11/21/2016,Food,product may be contaminated with listeria monocytogenes  ,2016-11-20,F-0686-2017,greencore usa,MA,Ongoing,,,1,0,0,0,0,0,0,0
118,Longmont,Class I,honey bunchies gourmet honey bars 19 oz snack bar containing honey sunflower kernels peanuts and pecans packaging:  box containing 20 individual bars in plastic wrappers manufactured by:  honey bunchie llc longmont co individual bar upc 8 66192 00010 1; box of 20 bars upc 8 66192 00011 8,United States,nationwide no foreign/govt/va/military consignees,74485,two or more of the following: email fax letter press release telephone visit,80501-6524, lot	production date	best buy date  d4	7/27/2015		12/27/2015  e4	7/28/2015		12/28/2015  f4	8/03/2015		1/03/2016  g4	8/04/2015		1/04/2016  h4	8/10/2015		1/10/2016  i4	8/18/2015		1/18/2016  j4	8/24/2015		1/24/2016  k4	8/26/2015		1/26/2016  l4	8/31/2015		1/31/2016  m4	9/07/2015		4/07/2016  n4	9/14/2015		4/14/2016  o4	9/21/2015		4/21/2016  p4	9/22/2015		4/22/2016  q4	9/28/2015		4/28/2016  r4	10/05/2015		5/05/2016  s4	10/05/2015		8/05/2016  t4	10/12/2015		5/12/2016  u4	10/12/2015		8/12/2016  v4	10/19/2015		8/19/2016  w4	10/20/2015		8/20/2016	  x4	10/26/2015		8/26/2016  y4	11/03/2015		9/03/2016  z4	11/09/2015		9/09/2016  a5	11/16/2015		9/16/2016  b5	11/23/2015		9/23/2016  c5	11/30/2015		9/30/2016  d5	12/07/2015		10/07/2016  e5	12/14/2015		10/14/2016  f5	12/21/2015		10/21/2016  g5	12/28/2015		10/28/2016  ,Food,honey bunchie llc is initiating a voluntary recall of a limited number of honey bunchies gourmet honey bars that contain sunopta sunflower kernels that have the potential of contamination with listeria monocytogenes,2016-05-31,F-1871-2016,honey bunchie llc,CO,Ongoing,,,1,0,0,0,0,0,0,0
