course_name|professor|url|description|term|online|course_num
BIOS E-66 Sports Physiology|Maria E. Miara|http://extension.harvard.edu/academics/courses/sports-physiology/24683|With the Michelle Obama's "Let's Move" initiative and the NFL's "Play 60" program, there is increasing awareness in this country of the importance of physical activity for overall health. In this course we dive deeper into the physiology and anatomy behind exercise science looking specifically at how the musculoskeletal, cardiovascular, respiratory, and nervous systems respond to physical activity. Additionally we consider how the body reacts differently depending on activity type, environmental condition, and participant age.|Spring Term 2017|On campus with online option|24683
BIOS E-70 Introduction to Epidemiology|Jennifer Fonda|http://extension.harvard.edu/academics/courses/introduction-epidemiology/24809|How can you design a study to evaluate whether exercise reduces depression? Should you worry about the latest news reports regarding Zika virus cases in the United States? This course introduces the basic principles and methods of epidemiology and demonstrates the applicability to public health and medicine. The goal of this course is to provide fundamental skills needed to begin to interpret and critically evaluate literature relevant to public health. Topics include measures of disease frequency and association, epidemiologic study designs, sources of bias and error, screening, and applications to public health. Class lectures include active learning exercises consisting of in-class problems, exercises, discussions, and seminars to achieve the learning objectives.|Spring Term 2017|On campus only|24809
BIOS E-100 Knowledge Acquisition in Medicine|Luis D. Berrizbeitia|http://extension.harvard.edu/academics/courses/knowledge-acquisition-medicine/15075|This course explores how medical and health practitioners acquire the knowledge necessary to make medical decisions and deliver recommendations to patients and other health care recipients. The course is divided into five sections, each of which explores in detail the process by which medical knowledge is obtained such as to arrive at a medical decision that will be scientifically accurate, broadly applicable, and yet tailored to the unique conditions of the individual patient.|Fall Term 2016|On campus only|15075
BIOS E-102 Newsworthy Topics in the Life Sciences|William J. Anderson|http://extension.harvard.edu/academics/courses/newsworthy-topics-life-sciences/23074|Scientists constantly make groundbreaking discoveries, some of which receive attention by the press. This course, designed for non-scientists, provides the scientific background to appreciate these reports more fully. We discuss three exciting topics in the life sciences: stem cells, cancer, and infectious diseases.|Spring Term 2017|On campus with online option|23074
BIOS E-107 Introduction to Medical Neuroscience|Daniel L. Roe|http://extension.harvard.edu/academics/courses/introduction-medical-neuroscience/24579|This course presents students with an introduction to the major topics in neurological injury and disease. The student is introduced to the signs, symptoms, and underlying causes of a variety of conditions. Specific topics discussed include aneurysms, Parkinson's disease, Huntington's disease, Alzheimer's disease, vascular dementia, prosopagnosia, aphasia, contralateral neglect, neuropathy, meningioma, acoustic schwannoma, epidural and subdural hematoma, and pituitary tumor among others. Emphasis is on the neuroanatomical basis of injury and disease, and how this informs our understanding.|Spring Term 2017|On campus only|24579
BIOS E-116 Principles of Marine Biology|Collin H. Johnson|http://extension.harvard.edu/academics/courses/principles-marine-biology/14458|This course provides an introduction to marine organisms and the physical and biological processes that affect them. The course begins with an investigation into the geologic processes behind the formation of ocean basins, the causes and maintenance of currents and ocean circulation, and the physical factors influencing primary productivity in marine environments. The course then transitions into an exploration of various marine organisms, as well as the physiological adaptations these organisms have to the marine environment. Overall, the emphasis is on the physical factors behind the formation and maintenance of marine ecosystems, and the complex biological interactions therein.|Fall Term 2016|On campus only|14458
BIOS E-118 Deep Sea Biology|Peter Girguis|http://extension.harvard.edu/academics/courses/deep-sea-biology/15167|The oceans contain 97 percent of the Earth's water, and host the most disparate ecosystems on the planet. This course provides an introduction to deep sea ocean habitats, animals, and microorganisms. Emphasis is placed on the physiological adaptations of organisms to their environment, as well as the role of microorganisms in mediating ocean biogeochemical cycles.|Fall Term 2016|On campus only|15167
BIOS E-118 Deep Sea Biology|Peter Girguis|http://extension.harvard.edu/academics/courses/deep-sea-biology/24171|The oceans contain 97 percent of the Earth's water, and host the most disparate ecosystems on the planet. This course provides an introduction to deep sea ocean habitats, animals, and microorganisms. Emphasis is placed on the physiological adaptations of organisms to their environment, as well as the role of microorganisms in mediating ocean biogeochemical cycles.|Spring Term 2017|On campus only|24171
BIOS E-123 Reproductive Biology: Physiological, Evolutionary, and Behavioral Aspects|Daniel Spratt|http://extension.harvard.edu/academics/courses/reproductive-biology-physiological-evolutionary-behavioral-aspects/15043|This course undertakes a multidisciplinary exploration of reproductive function in humans, including physiology and evolution as well as the impact on behavior and society. Examples in other species ranging from seasonal reproductive physiology and behavior in deer to effects of testosterone on songbirds' vocalizations and behavior help provide perspectives on the complex process of human reproduction and the intricacy of its regulation by hormones. The ability of humans to understand and manipulate the influence of these hormones has had an impact on our lives, healthcare system, and society. The impact on society ranges from significant advances in women's health to passionate controversies on limiting reproduction to scandals involving androgen use in sports. Different impacts of androgens and estrogens on cognition and behavior are an evolving field in neuroscience, business, and politics.|Fall Term 2016|On campus with online option|15043
BIOS E-129 Stem Cell and Regenerative Biology|William J. Anderson|http://extension.harvard.edu/academics/courses/stem-cell-regenerative-biology/14001|We are entering a new era in which a fundamental understanding of developmental biology and regeneration will play a critical role. In this course, embryonic and adult stem cells in different organisms are examined in terms of their molecular, cellular, and potential therapeutic properties. Genetic reprogramming and cloning of animals are critically evaluated. Ethical and political considerations are also considered.|Fall Term 2016|On campus with online option|14001
BIOS E-150 The Biology of Cancer|Duyen Westerling-Bui|http://extension.harvard.edu/academics/courses/biology-cancer/24595|This course provides students with a basic understanding of the molecular and cellular mechanisms that lead to cancer. Lectures primarily focus on the role of growth factors, oncogenes, tumor suppressor genes, angiogenesis, and signal transduction mechanisms in tumor formation. The fundamental principles behind cancer diagnosis, prevention, and therapeutic management are also discussed.|Spring Term 2017|On campus only|24595
BIOS E-155 Medical Microbiology|Laura Certain|http://extension.harvard.edu/academics/courses/medical-microbiology/24224|This course introduces students to the microbial species that cause human disease. We cover bacteria, fungi, viruses, and protozoa, and discuss current topics including antibiotic resistance, public health threats, and the microbiome. There is no laboratory component to this course.|Spring Term 2017|On campus only|24224
BIOS E-157 Viruses and Immunity: A Molecular Arms Race|Jamie Schafer|http://extension.harvard.edu/academics/courses/viruses-immunity-molecular-arms-race/14263|In order to replicate and propagate, viruses must contend with an onslaught of immune responses at both the intracellular and organismal level. Evolutionarily, this leads to an arms race between viruses and the immune system, as each evolves mechanisms to overcome the other. This course provides an introduction to several viruses that cause human disease and the immune responses that they evade or succumb to. The course is organized in two sections: first, introduction of the immune responses most relevant for viral infection (including antibodies, T cells, natural killer cells, and intracellular nucleic acid sensors); and second, discussion of viruses famous for their impact on society and human health (including HIV, Ebola, and herpesviruses, among others). Each virus is explored in the context of its replication, mechanisms of transmission, and interaction with the immune system. We conclude with presentations led by graduate-credit students, which may extend to viruses beyond those previously examined in the course and to specialized topics, such as applications of viruses in biotechnology and therapeutics. Graduate students also participate in discussions of primary scientific literature related to lecture topics throughout the course. Because molecular virology, immunology, and interactive learning are core components of the course, students should come prepared with confident mastery of introductory cell and molecular biology, and willingness to participate in critical thinking activities that involve discussing their ideas with their peers.|Fall Term 2016|On campus with online option|14263
BIOS E-162B Human Pathophysiology II|Nancy C. Long Sieber|http://extension.harvard.edu/academics/courses/human-pathophysiology-ii/15038|This course focuses on the pathophysiology of the human nervous, endocrine, gastrointestinal, and reproductive systems. Common mechanisms of pathogenesis are examined, including injury, autoimmunity, and neoplasia. These systems are linked by our focused examination of several conditions as they affect the body as a whole. We focus on autoimmune disorders and spinal cord injuries, as well as the consequences of obesity. Please note that Human Pathophysiology I, offered in alternate years, is not a prerequisite for this course.|Fall Term 2016|On campus only|15038
BIOS E-163 Human Endocrine Physiology|Daniel Spratt|http://extension.harvard.edu/academics/courses/human-endocrine-physiology/15044|This course delves into the fascinating ways in which hormones influence the body's development and function. Initial lectures describe the nature of different hormones and how they exert their actions. Subsequent lectures explore how hormones regulate body functions including growth and reproduction, thyroid and metabolism, calcium and bones, nutrition, and salt/fluid balance. Clinical examples from both health and disease as well as evolutionary and historical perspectives are used liberally to illustrate points. We also explore how this physiology can be used to understand and treat diverse medical disorders such as diabetes, infertility, abnormal sexual differentiation and puberty, and osteoporosis.|Fall Term 2016|On campus with online option|15044
BIOS E-170 Introduction to Microscopy|David C. Bell|http://extension.harvard.edu/academics/courses/introduction-microscopy/14234|This comprehensive course on microscopy techniques introduces students to both the theory and practical use of modern microscopes. The course features lectures on the basic physical principles behind the most common modern microscopy techniques. We cover introduction to optics, principles of image formation, light microscopy techniques, principles of fluorescence, digital imaging, confocal microscopy, TIRF, STORM/PALM, STED, FRET-FLIM, and FRAP techniques, structured illumination, two-photon fluorescence, second harmonic generation, vibrational imaging, scanning probe microscopy (SPM) techniques, atomic force microscopy (AFM), electron microscopy (SEM, TEM and STEM), and X-ray microscopy/microCT. The lectures are reinforced with the laboratory sessions featuring extensive demonstrations and hands-on exercises on a wide variety of microscopes. These sessions are held in the laboratories of the Center for Nanoscale Systems (CNS) at Harvard University. This course is designed to provide students and researchers from various fields a comprehensive and practical introduction to modern microscopy techniques and a background in modern optical research tools.|Fall Term 2016|On campus only|14234
BIOS E-175 Optical Imaging in Modern Biomedical Research: An Introduction to Principles and Techniques|Lai Ding|http://extension.harvard.edu/academics/courses/optical-imaging-modern-biomedical-research-introduction-principles-techniques|Imaging technologies have played a crucial role in the history of many biological discoveries. In the seventeenth century, the first cell was recorded in a hand drawing using a light microscope. In the 1950s, DNA was recorded on photographic film using an imaging method called x-ray diffraction. In the modern age, researchers are combining the fundamental principles of imaging with advances in molecular techniques, powerful computers, and robust digital image acquisitions systems to create new imaging applications that are changing the way we see, record, interpret, and understand biological events. This course explores imaging in-depth using the modern light microscope as a case study. We learn how images are formed, we learn the strengths and limitations of various imaging techniques commonly used in modern biomedical research (brightfield, phase contrast, DIC, fluorescence, TIRF, confocal, and multi-photon), and we learn the basic concepts in electronic imaging and computer-based image analysis. Most topics are enhanced through hands-on experimentation in lab.|January session|On campus only|23296
BIOS E-179 Gene Expression: A Hands-on Approach|Alain Viel|http://extension.harvard.edu/academics/courses/gene-expression-hands-approach/24205|This hands-on laboratory course is designed to give students an opportunity to experience how science is done through the practice of experimental inquiry. Under the guidance of the instructor and teaching assistant, students work in small teams to design experiments and test their designs in a fully equipped, state-of-the-art laboratory. A number of technical skills are utilized, including gene cloning, DNA amplification and mutagenesis by PCR, in vitro transcription and translation, and purification and analysis of proteins. Students assemble synthetic genes from parts and analyze the contribution of these parts in the regulation of gene expression, from transcription to translation. They develop analytical skills, learn how to design experiments, and how to work on open-ended questions. By the end of the course, students present a research paper detailing their findings. Students also submit a weekly description of their experimental designs. Relevant readings from reviews and primary literature are assigned.|January session|On campus only|24205
BIOS E-185 Gene Therapy and Gene Editing|Christopher Reid Burtner|http://extension.harvard.edu/academics/courses/gene-therapy-gene-editing/15036|Gene therapy and gene editing has the potential to cure a variety of genetic and infectious diseases, which is reflected in the vast number of academic and biotechnology labs pursuing research in this field. But several hurdles remain before gene therapy and gene editing can be accepted as a standard of care in personalized medicine. This course provides a survey of the progress made in the field from a primarily historical perspective, starting with initial attempts at mammalian gene transfer (leading to the advent of the transgenic mouse), through the first successful FDA-approved stem cell gene therapy trial for X-linked severe combined immunodeficiency (the bubble boy disease), and into the recent advances made in targeted gene editing using tools like CRISPR/Cas RNA-guided endonucleases. The course consists of a series of case studies that outline several of the outstanding real-life applications of genetic modification and gene therapy, with a focus on gene therapy for blood disorders. The course material prepares students to grapple with the following essential questions: How would you introduce a genetic modification in people? How would you evaluate whether your gene therapy worked?  What potential concerns can you think of when doing gene therapy in people? Because gene therapy occurs at the intersection of several biological disciplines, students should have a prior mastery of concepts in basic cell and molecular biology.|Fall Term 2016|On campus only|15036
BIOS E-200 Proseminar: Graduate Research Methods and Scholarly Writing in the Biological Sciences|Mihaela G. Gadjeva|http://extension.harvard.edu/academics/courses/proseminar-graduate-research-methods-scholarly-writing-biological-sciences/13092|This proseminar is designed to teach students many of the writing and analytical skills that are required to succeed in graduate-level courses in the biological sciences. Through critical reading and presentation of research articles, students learn how to form questions that can be addressed experimentally and how to write a corresponding, testable hypothesis. This course also addresses the process of experimental design and current experimental methodologies in biology. Students are given multiple opportunities to hone their writing skills on several short writing assignments and a final writing project due at the end of the semester. This is the required admission course for the Master of Liberal Arts, biology. If you are interested in the Master of Liberal Arts, biotechnology, see BIOT E-200.|Fall Term 2016|On campus only|13092
BIOS E-200 Proseminar: Graduate Research Methods and Scholarly Writing in the Biological Sciences|William J. Anderson|http://extension.harvard.edu/academics/courses/proseminar-graduate-research-methods-scholarly-writing-biological-sciences/22950|This proseminar is designed to teach students many of the writing and analytical skills that are required to succeed in graduate-level courses in the biological sciences. Through critical reading and presentation of research articles, students learn how to form questions that can be addressed experimentally and how to write a corresponding, testable hypothesis. This course also addresses the process of experimental design and current experimental methodologies in biology. Students are given multiple opportunities to hone their writing skills on several short writing assignments and a final writing project due at the end of the semester. This is the required admission course for the Master of Liberal Arts, biology. If you are interested in the Master of Liberal Arts, biotechnology, see BIOT E-200.|Spring Term 2017|On campus only|22950
BIOS E-204 Developmental and Regenerative Biology|William J. Anderson|http://extension.harvard.edu/academics/courses/developmental-regenerative-biology/14278|The field of developmental biology provides insights on a most interesting question: how do all of the cells in our bodies arise from a single cell, the fertilized egg? This graduate seminar probes this question through critical analysis of the primary literature. Both classical as well as contemporary papers are scrutinized. We cover topics ranging from fertilization, organogenesis, patterning, regeneration, and aging, with a focus on humans whenever possible.|Fall Term 2016|On campus only|14278
BIOS E-210 Neurobiology of Circadian Rhythms: Regulation of Physiological Systems and Involvement in Disease States|Sabina Berretta|http://extension.harvard.edu/academics/courses/neurobiology-circadian-rhythms-regulation-physiological-systems-involvement|Circadian rhythms are involved in essential biological processes driving our daily physiology and behavior. They have recently come to the forefront of neurobiological investigations as a key system regulating not only autonomic functions, but also complex brain circuitry processing emotion and cognitive information. Initially thought to arise from a neural circuit fully controlled by the hypothalamus, they are now better understood to involve a complex regulation of clock genes in virtually all cells in the brain, including in a multitude of cortical and subcortical brain regions that participate in fear, stress response, reward processing and, more in general, plasticity and learning. Emerging evidence consistent with these functions supports a key role for a disruption of circadian rhythms in several brain disorders. In addition, circadian rhythms play key roles in regulating functions of several body organs and systems, such as the liver, lungs, and respiratory, immune, and circulatory systems. Recent advances in the understanding of neural circuits and molecular pathways involved in regulating circadian rhythms have broadened our understanding of their role in normal and disease states. This seminar examines the neurobiology of circadian rhythms in mammals. Emphasis is placed on the involvement of circadian rhythms in normal biological functions, such as feeding behavior, energy metabolism, and learning and memory, as well as in disease conditions including cancer, obesity, stress, and mood disorders.|Fall Term 2016|On campus only|15073
BIOS E-232 Neurobiology of Emotion and Psychiatric Illnesses|Sabina Berretta|http://extension.harvard.edu/academics/courses/neurobiology-emotion-psychiatric-illnesses/23451|Investigations on the neural basis of emotion and pathophysiology of psychiatric disorders synergistically inform each other, and in recent years have led to a leap in our understanding of emotion processing in normal and pathological conditions. In this course, a working definition of emotion from a biological point of view serves as background to explore brain circuits involved in aspects of emotional processing and their integration with decision making and goal-directed behavior. Neural networks linking the cingulate gyrus, insula, and ventromedial and orbitofrontal cortices, hippocampus and subcortical regions such as the amygdala, 'limbic' thalamus, and ventral striatum are discussed in light of their relevance to emotion processing and psychiatric disorders. Emerging concepts are the key role of biological value in emotion processing and the relationship between emotion and memory. Within this context, we discuss current knowledge on the pathophysiology of psychiatric disorders, with particular emphasis on clinical domains such as anxiety, psychosis, depression, autism spectrum disorders, and antisocial personality disorder. Finally, current knowledge on the neurobiology of emotion and psychiatric disorders is placed in the context of social interactions, focusing in particular on the intersection between justice and psychiatry.|Spring Term 2017|On campus only|23451
BIOS E-240 Biochemical and Physiological Adaptation of Microbes|Alain Viel|http://extension.harvard.edu/academics/courses/biochemical-physiological-adaptation-microbes/23825|Microbes have developed molecular mechanisms—morphological and anatomical features that allow them to survive in a wide range of habitats. Biochemical and physiological evolution in response to environmental conditions gave rise to an incredible diversity of adaptive solutions. Synthetic biologists take advantage of this diversity to explore biological solutions to problems related to alternative sources of energy and food. Other uses include the detection, processing, and recycling of pollutants as well as new applications for the diagnosis and treatment of certain diseases. This course covers a series of topics including a comparison of catabolism in aerobic and anaerobic microbes, the contribution of microbes in the recycling of nutrients within an ecosystem, the role and organization of bacterial communities, and the potential of engineering microbes for therapeutic and environmental purposes.|Spring Term 2017|On campus only|23825
BIOT E-100 Introduction to Bioinformatics|Edward G. Freedman|http://extension.harvard.edu/academics/courses/introduction-bioinformatics/14566|This course explores how computer science and mathematics, supported by information technology, have combined with modern laboratory technologies to solve previously intractable problems in the life sciences. Areas of bioinformatics discussed include DNA sequencing and assembly, sequence alignment, gene prediction, functional genomics, phylogenetics, sequence, gene, protein databases, and, time permitting, the impact on society and ethical considerations. Students learn simple programming language approaches using Python to automate the use of bioinformatics tools and interpret their output. Basic concepts of probability are introduced to help understand the significance of results.|Fall Term 2016|On campus only|14566
BIOT E-105 Bioinformatics: Fundamentals of Sequence Analysis|Michael Agostino|http://extension.harvard.edu/academics/courses/bioinformatics-fundamentals-sequence-analysis/24434|With breakthroughs in biotechnology such as high-throughput and inexpensive DNA sequencing, we are collecting vast amounts of data that will be analyzed for years to come. The details of this data reveal basic information such as gene and protein structures, or may lead us to major discoveries like gene-disease associations. This course teaches the bioinformatics skills used in academic, biotech, and pharmaceutical laboratories for analyzing individual DNA and protein sequences. This is not a programming course. Classes consist of lecture and extensive hands-on experience using mainstream web-based bioinformatics tools. Students learn how to evaluate data sources and choose the correct paths to solutions. Throughout the semester, interesting biological questions are addressed by analyzing sequences, searching databases, using sophisticated software, and interpreting results. Upon completion of the course, students have extensive skills with sequence analysis tools and are prepared for their own laboratory projects or bioinformatics software creation.|Spring Term 2017|Online (live) web conference|24434
BIOT E-200 Proseminar: Graduate Research Methods and Scholarly Writing in Biotechnology|Margaret Anne Lynch|http://extension.harvard.edu/academics/courses/proseminar-graduate-research-methods-scholarly-writing-biotechnology/13645|In this proseminar, we focus on science writing, data interpretation, and collaborative and independent experimental design. Students who successfully complete the course are those who demonstrate an ability to assess information from the primary scientific literature, a command of oral and written communication skills, and the ability to generate a logical progression of experiments to help validate or nullify their hypothesis. Reading materials include publications on scientific writing, experimental design, and peer-reviewed journal articles. This is the required admission course for the Master of Liberal Arts, biotechnology. If you are interested in the Master of Liberal Arts, biology, see BIOS E-200.|Fall Term 2016|On campus only|13645
BIOT E-200 Proseminar: Graduate Research Methods and Scholarly Writing in Biotechnology|Beth Zielinski-Habershaw|http://extension.harvard.edu/academics/courses/proseminar-graduate-research-methods-scholarly-writing-biotechnology/14719|In this proseminar, we focus on science writing, data interpretation, and collaborative and independent experimental design. Students who successfully complete the course are those who demonstrate an ability to assess information from the primary scientific literature, a command of oral and written communication skills, and the ability to generate a logical progression of experiments to help validate or nullify their hypothesis. Reading materials include publications on scientific writing, experimental design, and peer-reviewed journal articles. This is the required admission course for the Master of Liberal Arts, biotechnology. If you are interested in the Master of Liberal Arts, biology, see BIOS E-200.|Fall Term 2016|Online (live) web conference|14719
BIOT E-200 Proseminar: Graduate Research Methods and Scholarly Writing in Biotechnology|Elizabeth Wiltrout|http://extension.harvard.edu/academics/courses/proseminar-graduate-research-methods-scholarly-writing-biotechnology/23457|In this proseminar, we focus on science writing, data interpretation, and collaborative and independent experimental design. Students who successfully complete the course are those who demonstrate an ability to assess information from the primary scientific literature, a command of oral and written communication skills, and the ability to generate a logical progression of experiments to help validate or nullify their hypothesis. Reading materials include publications on scientific writing, experimental design, and peer-reviewed journal articles. This is the required admission course for the Master of Liberal Arts, biotechnology. If you are interested in the Master of Liberal Arts, biology, see BIOS E-200.|Spring Term 2017|On campus only|23457
BIOT E-208 The Application of Management Principles in Biopharma: A Case-Based Course|Donald R. Kirsch|http://extension.harvard.edu/academics/courses/application-management-principles-biopharma-case-based-course/15092|This is a case-based course covering a range of management issues with all examples coming from the biopharma industry and an emphasis on the effects business decisions have on research and development operations and productivity. Cases involve strategies for research and development management, strategies for business maintenance/expansion, issues of licensing/acquisition versus in-house discovery of new products, the adoption of new technology (when and how to choose those technologies that will make the greatest impact on new product discovery), generics versus brand name proprietary drug businesses, managing mergers and acquisitions, and entrepreneurship.|Fall Term 2016|On campus only|15092
BIOT E-215 Clinical Trial Research|Katherine Arbour|http://extension.harvard.edu/academics/courses/clinical-trial-research/14495|This course provides an introduction to clinical trial research using case examples in solid tumor and hematology oncology clinical trials and immunological disorders and infections. Students are introduced to the clinical research spectrum and become familiar with the essential components necessary to conduct clinical trial research in a global market.|Fall Term 2016|On campus only|14495
BIOT E-225 Biomedical Product Development|Sujata K. Bhatia|http://extension.harvard.edu/academics/courses/biomedical-product-development/23984|This course examines the design and development of new therapeutic products. Students learn through case-based studies of product development for pharmaceuticals, biologics, medical devices, and combination therapies. The course describes the steps of biomedical product development, from conceptualization to design to manufacturing to regulatory approval and commercialization. The course discusses both technical and business factors that contribute to the success or failure of new biomedical products. Appropriate design of preclinical and clinical trials is also included. Students gain an appreciation for emerging technologies in stem cells, gene therapy, tissue regeneration, personalized medicine, and targeted therapies. Additionally, students learn about the special challenges presented by emerging biomedical technologies. By the end of the course, each student completes a project to propose a new biomedical device and identify the regulatory strategy, technical milestones, and business milestones for the new device.|Spring Term 2017|Online (live) web conference|23984
BIOT E-230 Structure and Function of Human Monoclonal Antibodies|William Sisk|http://extension.harvard.edu/academics/courses/structure-function-human-monoclonal-antibodies/15040|Monoclonal antibodies have become the major therapeutic modality for the treatment of many important diseases. This course provides a comprehensive overview of the path from the discovery and development of potential therapeutic monoclonal antibodies to their introduction into the clinic. The course is based primarily on real-world case studies of therapeutic antibody discovery and development. We start with an in-depth review of the immunoglobulin genetic locus and the subsequent generation of antibody epitope diversity. Antibody discovery methodologies, including hybridoma technology, direct isolation of antibodies from B-cells, and the use of various display approaches are covered. The basic structural, functional, and biochemical features of therapeutic monoclonal antibodies are analyzed. Selected topics in antibody engineering cover antibody humanization, affinity maturation, and selection of the appropriate Fc-mediated effector function. The clinical developmental pathway of monoclonal antibodies—including generation of high-titer cell lines, large-scale cell culture development, purification optimization, formulation, stability, and analytical characterization—are reviewed thoroughly. The student develops a greater appreciation for the process of antibody discovery and how monoclonal antibodies have become such effective therapeutics.|Fall Term 2016|On campus only|15040
